file,sha256,size_bytes,row_count,evidence_class
anomaly_log.csv,57dccab0afbaff901754ffafc326832c967bef47d6e1bdd775bc586e03e6fbc3,85,0,schema-only
audit_query_measurements.csv,ef25460303a245c250180a59dada41bab5c7bf1ddec11d6ea902c8569e52102e,2233,20,measured-local
hardware_software_disclosure.csv,030b1807689fac9d28c427924ef95503ac8a60ca722b3f2d2b32928c606e58fe,179,4,measured-local
planned_runs.csv,659886b450404fcc91941c67cb9cf555aa7740f8514e156e6fbd312cebdfc066,1394,20,measured-local
proof_measurements.csv,e41a6082f133ea3065ab39bbdf85aece4b60247710e25045a4a0549db24c1f48,32816,604,measured-local
raw_write_measurements.csv,29cb516a4588ee77fa301f8115cf2f3ed5c56d4dc6bc78e261e69e621924a752,56109,604,measured-local
run_summary.csv,c610140848990d069bab9be39b4a4156eb98aa925b88373692822e8727a56b46,1637,20,measured-local
service_preflight.csv,a6861b70ddcf50aa57c6144eeaeba055472edbd028654866ca0704f49e3a4672,187,1,measured-local
statistical_summary.csv,411a34fb02886e182d24b1658eaf8732ca49debc46b4688642c72d6f11314ec0,117,0,schema-only
storage_snapshots.csv,8f3ee685177ce842e284e6864ff191e321eb6edbd9f0b6845adf41bb7713dceb,1486,20,measured-local
